STATUS,200
MESSAGEID,M181000I
MESSAGE,正常に終了しました。
DATE,2026-03-03T12:35:22.307+09:00
PARAMETER,FORMAT,CSV
PARAMETER,LANG,JP
PARAMETER,DB,MD01
PARAMETER,STARTDATE,
PARAMETER,ENDDATE,
PARAMETER,STARTPOSITION,
NEXTPOSITION,
SERIES_CODE,NAME_OF_TIME_SERIES_J,UNIT_J,FREQUENCY,CATEGORY_J,LAST_UPDATE,SURVEY_DATES,VALUES
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197001,45652
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197002,42889
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197003,44223
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197004,44354
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197005,43996
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197006,45532
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197007,47710
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197008,47586
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197009,45499
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197010,46467
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197011,46766
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197012,58302
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197101,53149
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197102,50060
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197103,51169
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197104,51425
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197105,51431
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197106,52810
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197107,55760
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197108,55868
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197109,53424
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197110,54164
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197111,54232
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197112,67425
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197201,61839
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197202,57815
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197203,59427
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197204,60611
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197205,59565
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197206,63082
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197207,65832
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197208,65556
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197209,64183
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197210,65713
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197211,66684
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197212,83241
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197301,78806
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197302,75090
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197303,78792
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197304,83415
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197305,82773
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,197306,85578
