PRCG20_2200000000,国内企業物価指数 総平均
PRCG20_2200010001,大類別/工業製品
PRCG20_2200120001,類別/_飲食料品
PRCG20_2200220001,類別/_繊維製品
PRCG20_2200320001,類別/_木材・木製品
PRCG20_2200420001,類別/_パルプ・紙・同製品
PRCG20_2200520001,類別/_化学製品
PRCG20_2200620001,類別/_石油・石炭製品
PRCG20_2200720001,類別/_プラスチック製品
PRCG20_2200820001,類別/_窯業・土石製品
PRCG20_2200920001,類別/_鉄鋼
PRCG20_2201020001,類別/_非鉄金属
PRCG20_2201120001,類別/_金属製品
PRCG20_2201220001,類別/_はん用機器
PRCG20_2201320001,類別/_生産用機器
PRCG20_2201420001,類別/_業務用機器
PRCG20_2201520001,類別/_電子部品・デバイス
PRCG20_2201620001,類別/_電気機器
PRCG20_2201720001,類別/_情報通信機器
PRCG20_2201820001,類別/_輸送用機器
PRCG20_2201920001,類別/_その他工業製品
PRCG20_2202010001,大類別/農林水産物
PRCG20_2202020001,類別/_農林水産物
PRCG20_2202110001,大類別/鉱産物
PRCG20_2202120001,類別/_鉱産物
PRCG20_2202210001,大類別/電力・都市ガス・水道
PRCG20_2202220001,類別/_電力・都市ガス・水道
PRCG20_2202310001,大類別/スクラップ類
PRCG20_2202320001,類別/_スクラップ類
PRCG20_22G2200000,(参考)夏季電力料金調整後/総平均
PRCG20_22G2220001,(参考)夏季電力料金調整後/類別/_電力・都市ガス・水道
